"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"358","JM-HDFCBK ","JM-HDFCBK ","-","-","-","-","-",
"1668000840198",,,"Received","2022-11-09 19:04:00","HDFC Bank: You have successfully registered for UPI payment on Google Pay. If not you, please report immediately to your bank. Do not share your card details/OTP/ATM PIN with anyone.",,,
"1668000854406",,,"Received","2022-11-09 19:04:14","HDFC Bank: UPI payment registration on Google Pay app has begun. If it is not initiated by you please report immediately to your bank to avoid any financial loss",,,
