"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"876","CP-GLEARN ","CP-GLEARN ","-","-","-","-","-",
"1684474744889",,,"Received","2023-05-19 11:09:04","Dear Candidate, Join us for the Live Masterclass on ""Building Brand Reputation through Digital Marketing"" with Akram Ali, Mentor & Trainer - Marketing on 19th May'23 at 5:00 PM Register now: weurl.co/ythesb
Great Lakes",,,
"1684495661183",,,"Received","2023-05-19 16:57:41","5 mins left for webinar, ""Building Brand Reputation through Digital Marketing"", to start. Join us live at 5:00 PM today. Dedicated Q&A round. Link to join: weurl.co/ytOObq
Great Lakes",,,
