"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"600","AX-VIOGRP ","AX-VIOGRP ","-","-","-","-","-",
"1670487642369",,,"Received","2022-12-08 13:50:42","Luxury Lifestyle! Spacious Living near Jogeshwari (E) station 1&2 BHK starts @99.54L onwards 1 min from highway & metro Avail Flexi Payment Plan 9152123245 VIVO",,,
"1670487867429",,,"Received","2022-12-08 13:54:27","Luxury Lifestyle! Spacious Living near Jogeshwari (E) station 1&2 BHK starts @99.54L onwards 1 min from highway & metro Avail Flexi Payment Plan 9152123245 VIVO",,,
