"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"146","AD-AxisBk ","AD-AxisBk ","-","-","-","-","-",
"1666424762710",,,"Received","2022-10-22 13:16:02","243802 is SECRET OTP for txn of INR 207.00 on Axis Bank card XX4345 at SWIGGY INS on 22-10-22 13:15:59. OTP valid for 5 mins. Please do not share this OTP.",,,
"1666437049539",,,"Received","2022-10-22 16:40:49","407447 is SECRET OTP for txn of INR 516.81 on Axis Bank card XX4345 at Dreamplug on 22-10-22 16:40:47. OTP valid for 5 mins. Please do not share this OTP.",,,
"1666437110831",,,"Received","2022-10-22 16:41:50","Congratulations! You are eligible for 2% cashback on your last transaction with Axis Bank ACE credit card xx4345. T&C apply",,,
"1666441139122",,,"Received","2022-10-22 17:48:59","Share your experience of using Axis Mobile for the recent service request regarding your Credit Card. Click https://nps.bz/AXISBANK-79452903-A92C&c=1&n=0",,,
