"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"341","JM-NBHome ","JM-NBHome ","-","-","-","-","-",
"1662699816285",,,"Received","2022-09-09 10:33:36","Get 10% DISCOUNT upto Rs1000 on Packers & Movers with your NB Cash! Get a FREE quote here from Nobroker - https://u1.mnge.co/3qLLjDE",,,
"1662721735679",,,"Received","2022-09-09 16:38:55","Hi Sandipan Dutta, need help with house hunting? A NoBroker Relationship Manager can help, get a house with ZERO hassles & ZERO brokerage! Click https://u1.mnge.co/LpKYMpX",,,
