"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"945","JD-JIOJCN ","JD-JIOJCN ","-","-","-","-","-",
"1686981329817",,,"Received","2023-06-17 11:25:29","Dear User,

You’ve earned RummyCircle Get Upto Rs.5000 Welcome Bonus on Specials. Click on https://t.jio/winnings-RUMU5K to claim your coupon! T&C

Team JioCoupon",,,
"1686984087669",,,"Received","2023-06-17 12:11:27","Dear User,

You’ve earned Myglamm Choose any product at Rs 1 on Specials. Click on https://t.jio/winnings-MYGLM3 to claim your coupon! T&C

Team JioCoupon",,,
