"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"823","AD-LALLAB ","AD-LALLAB ","-","-","-","-","-",
"1681374766710",,,"Received","2023-04-13 14:02:46","Dr Lal PathLabs offers Wellness Report of your Health Package with Diet Plan & Health guidance.

Get Rs100 OFF
Use code - WRLPL

Sample report- bit.ly/2TKK7B9
To Book login to your reports section & pay online
bit.ly/LPLwebsite",,,
"1681386169574",,,"Received","2023-04-13 17:12:49","Greetings from Dr Lal PathLabs, 2527 is your OTP for Online Password Reset. It is valid for 1 minute Do not share your OTP with anyone.",,,
