"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"3","VM-ViCARE ","VM-ViCARE ","-","-","-","-","-",
"1685763676258",,,"Received","2023-06-03 09:11:16","Surprise! FREE 7GB Data added to your Vi account. Change settings to enjoy benefit of 1GB/day for 7days-Settings>Network>Internet>Vi SIM- https://bit.ly/3PBZO79",,,
"1685763680018",,,"Received","2023-06-03 09:11:20","Special Data Gift Credited! You have been gifted 1GB /day internet FREE with 7 days validity. Enjoy the FASTEST Experience! Click bit.ly/RCOff20 for Offers",,,
