"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"3","VM-ViCARE ","VM-ViCARE ","-","-","-","-","-",
"1683775804903",,,"Received","2023-05-11 09:00:04","Surprise! FREE 7GB Data added to your Vi account. Change settings to enjoy benefit of 1GB/day for 7days-Settings>Network>Internet>Vi SIM- https://bit.ly/3PBZO79",,,
"1683775813649",,,"Received","2023-05-11 09:00:13","Special Data Gift Credited! You have been gifted 1GB /day internet FREE with 7 days validity. Enjoy the FASTEST Experience! Click bit.ly/RCOff20 for Offers",,,
