"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"3","VM-ViCARE ","VM-ViCARE ","-","-","-","-","-",
"1672816212737",,,"Received","2023-01-04 12:40:12","Surprise! FREE 7GB Data added to your Vi account. Change settings to enjoy benefit of 1GB/day for 7days-Settings>Network>Internet>Vi SIM- https://bit.ly/3PBZO79",,,
"1672816220020",,,"Received","2023-01-04 12:40:20","Special Data Gift Credited! You have been gifted 1GB /day internet FREE with 7 days validity. Enjoy the FASTEST Experience! Click bit.ly/RCOff20 for Offers",,,
"1672839305452",,,"Received","2023-01-04 19:05:05","Alert: On receiving any unwanted SMS, please complain by calling 1909 or send SMS on 1909 in format SMS Content, Sender No., dd/mm/yy' or visit https://bit.ly/37gyXNC",,,
"1672847819636",,,"Received","2023-01-04 21:26:59","Alert: On receiving any unwanted SMS, please complain by calling 1909 or send SMS on 1909 in format SMS Content, Sender No., dd/mm/yy' or visit https://bit.ly/37gyXNC",,,
