"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"3","VM-ViCARE ","VM-ViCARE ","-","-","-","-","-",
"1665557807094",,,"Received","2022-10-12 12:26:47","Alert! Outgoing Calls,Data on Vi no. 9930553060 STOP on 13/10/22 00:00hrs. Recharge with Unlimited/Combo bit.ly/Vi121NAT / dial*121# .Ignore if done",,,
"1665572721000",,,"Received","2022-10-12 16:35:21","Rs99 recharged! Enjoy Rs99 Limited Validity Talktime+All Local/National Calls at 2.5p/sec+200MB Data.Valid for 28Days.No Outgoing SMS.For best offers dial *121#",,,
