"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"3","VM-ViCARE ","VM-ViCARE ","-","-","-","-","-",
"1659298681373",,,"Received","2022-08-01 01:48:01","Hi! Your Data pack is valid for just 3 more days. Click bit.ly/ViDataRC or dial *121# to buy a Data pack.",,,
"1659337534982",,,"Received","2022-08-01 12:35:34","Alert: On receiving any unwanted SMS, please complain by calling 1909 or send SMS on 1909 in format SMS Content, Sender No., dd/mm/yy' or visit https://bit.ly/VI_DND2",,,
