"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"852","JX-JIOMRT ","JX-JIOMRT ","-","-","-","-","-",
"1685869812069",,,"Received","2023-06-04 14:40:12","Shipment # 16857426820017107A-02 of your multi-shipment JioMart order has been dispatched and will be delivered by Delivery Associate Ajay Chavan 7021912080. Your Delivery Confirmation Code is 7313. You can track your order on https://t.grab.in/?5225af7172",,,
"1685875637296",,,"Received","2023-06-04 16:17:17","Please use this Delivery Confirmation Code 7313. To pay via UPI or other modes, ask Delivery Associate for details - JioMart",,,
"1685875937272",,,"Received","2023-06-04 16:22:17","Hi, your shipment id 16857426820017107A-02 has been successfully delivered by our agent. For any help, head to the Need help section on your JioMart app",,,
