"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"264","BP-ISKCON ","BP-ISKCON ","-","-","-","-","-",
"1660884128333",,,"Received","2022-08-19 10:12:08","Today is most auspicious JANMASTHAMI, please support ISKCON for free food Annadaan to poor
To Donate now www.iskconffl.com SaveTax-80G 8850530568 Hare Krishna",,,
"1660884800102",,,"Received","2022-08-19 10:23:20","Today is most auspicious JANMASTHAMI, please support ISKCON for free food Annadaan to poor
To Donate now www.iskconffl.com SaveTax-80G 8169088954 Hare Krishna",,,
