"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"483","AD-NOBRKR ","AD-NOBRKR ","-","-","-","-","-",
"1666421915648",,,"Received","2022-10-22 12:28:35","Hi Sandipan, You recently searched in NoBroker for 2 BHK for sale in Lingarajapuram. Click http://nobr.kr/sv/4GCXN6 to view exclusive properties matching your requirements. NoBroker",,,
"1666434363553",,,"Received","2022-10-22 15:56:03","Hi Sandipan, You recently searched in NoBroker for 2 BHK for sale in Lingarajapuram. Click http://nobr.kr/sv/rhFdP6 to view exclusive properties matching your requirements. NoBroker",,,
