"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"581","VK-APTDOT ","VK-APTDOT ","-","-","-","-","-",
"1669886073968",,,"Received","2022-12-01 14:44:33","Dear Customer, Kindly use 656036 as the One Time Password (OTP) to validate your login on https://tafcop.dgtelecom.gov.in. This OTP is valid for 10 minutes. Kindly do not share it with anyone.",,,
"1669886135347",,,"Received","2022-12-01 14:45:35","Dear Customer, Kindly use 691916 as the One Time Password (OTP) to validate your login on https://tafcop.dgtelecom.gov.in. This OTP is valid for 10 minutes. Kindly do not share it with anyone.",,,
