"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"343","VM-PBHTLH ","VM-PBHTLH ","-","-","-","-","-",
"1683438804609",,,"Received","2023-05-07 11:23:24","Dear Sandipan Dutta, We are doing an online session on ""Discover the power of yoga through storytelling for kids"" at 11:30 AM Today with ""Elouise (Lakshya)"", a leading ""Hatha, Yin, Pre & Postnatal"" Yoga Teacher in India. Please click here http://nmc.sg/VeWCKimr to join. Policybazaar Insurance Brokers. T&C.",,,
