"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"23","JD-AxisBk ","JD-AxisBk ","-","-","-","-","-",
"1654362047464",,,"Received","2022-06-04 22:30:47","493540 is SECRET OTP for txn of INR 245.70 on Axis Bank card XX4345 at BUNDL TECH on 04-06-22 22:30:46. OTP valid for 5 mins. Please do not share this OTP.",,,
"1654362086902",,,"Received","2022-06-04 22:31:26","Congratulations! You are eligible for 2% cashback on your last transaction with Axis Bank ACE credit card xx4345. T&C apply",,,
