"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"23","JD-AxisBk ","JD-AxisBk ","-","-","-","-","-",
"1655541752424",,,"Received","2022-06-18 14:12:32","E-statement of your Axis Bank Credit Card no. XX4345 has been generated. Total Amount Due INR 24286.31, Minimum Amount Due INR 1215, Due date 05-JUL-22. Click https://cc.axisbank.co.in/ebrAs-n2g to view/download.",,,
"1655551234569",,,"Received","2022-06-18 16:50:34","Dear Customer, payment of Rs. 24286.31 towards your Axis Bank Credit Card XXXX4345 has been received on 18-JUN-22. Thank You.",,,
"1655565171744",,,"Received","2022-06-18 20:42:51","304905 is SECRET OTP for txn of INR 263.00 on Axis Bank card XX4345 at BUNDL TECH on 18-06-22 20:42:51. OTP valid for 5 mins. Please do not share this OTP.",,,
