"ID","Name","Phone Number","Message","Date Time","Received","Sent","Status",
"23","JD-AxisBk ","JD-AxisBk ","-","-","-","-","-",
"1658343053238",,,"Received","2022-07-21 00:20:53","477845 is SECRET OTP for txn of INR 259.00 on Axis Bank card XX4345 at BUNDL TECH on 21-07-22 00:20:52. OTP valid for 5 mins. Please do not share this OTP.",,,
"1658343077331",,,"Received","2022-07-21 00:21:17","907905 is SECRET OTP for txn of INR 259.00 on Axis Bank card XX4345 at BUNDL TECH on 21-07-22 00:21:16. OTP valid for 5 mins. Please do not share this OTP.",,,
"1658385679066",,,"Received","2022-07-21 12:11:19","Congratulations! You are eligible for 2% cashback on your last transaction with Axis Bank ACE credit card xx4345. T&C apply",,,
